1,O,001027
1,O,001044
1,O,001173
1,O,001049
1,O,001050
1,O,001052
1,O,001025
1,O,003845
1,O,002427
1,O,002431
1,O,002412
1,O,002539
1,O,002540
1,O,002548
1,O,002549
1,O,002550
1,O,002490
1,O,002491
1,O,002560
1,O,002403
1,I,002403
1,I,002402
1,I,002492
1,I,002493
1,I,002453
1,I,002552
1,I,002553
1,I,002467
1,I,002566
1,I,002537
1,I,002446
1,I,002449
1,I,001140
1,I,001142
1,I,001054
1,I,001056
1,I,001175
1,I,001027
10,O,001152
10,O,001163
10,O,001022
10,O,001080
10,O,001081
10,O,001079
10,O,001059
10,O,001060
10,O,001061
10,O,001062
10,O,001063
10,O,001064
10,O,001065
10,O,001187
10,O,001173
10,O,001049
10,O,001050
10,O,001052
10,O,001025
10,O,001136
10,O,002479
10,O,002480
10,O,002481
10,O,002482
10,O,002484
10,O,002485
10,O,002469
10,O,002455
10,O,002456
10,O,002474
10,O,001213
10,O,001259
10,O,001260
10,O,001261
10,O,001262
10,O,001310
10,O,001249
10,I,001249
10,I,001279
10,I,001280
10,I,001364
10,I,001283
10,I,001286
10,I,001214
10,I,001215
10,I,002457
10,I,002547
10,I,002548
10,I,002550
10,I,002552
10,I,002458
10,I,002558
10,I,002486
10,I,002487
10,I,002569
10,I,002488
10,I,002489
10,I,001140
10,I,001142
10,I,001054
10,I,001121
10,I,001125
10,I,001126
10,I,001127
10,I,001134
10,I,001135
10,I,001129
10,I,001130
10,I,001131
10,I,001132
10,I,001133
10,I,001128
10,I,001002
10,I,001003
10,I,001005
10,I,001164
10,I,001152
101,O,001152
101,O,001163
101,O,002692
101,O,001081
101,O,001059
101,O,001060
101,O,001192
101,O,002734
101,O,001064
101,O,001065
101,O,001044
101,O,002737
101,O,001051
101,O,002427
101,O,002431
101,O,002413
101,O,002539
101,O,002968
101,O,001475
101,O,001412
101,O,001413
101,O,001534
101,O,001535
101,O,001772
101,O,001529
101,O,001572
101,O,002976
101,O,001829
101,O,001503
101,O,001504
101,O,001505
101,O,001506
101,O,001797
101,O,001508
101,O,002977
101,I,002977
101,I,001648
101,I,001650
101,I,002978
101,I,002979
101,I,002889
101,I,001502
101,I,001575
101,I,001576
101,I,001577
101,I,001530
101,I,001538
101,I,001643
101,I,001644
101,I,001415
101,I,001476
101,I,002441
101,I,002444
101,I,002566
101,I,002537
101,I,002446
101,I,001140
101,I,001142
101,I,001054
101,I,001121
101,I,001125
101,I,001126
101,I,001127
101,I,001134
101,I,001130
101,I,001132
101,I,001133
101,I,001128
101,I,001003
101,I,001005
101,I,001164
101,I,001152
101R,O,002470
101R,O,001475
101R,O,001412
101R,O,001413
101R,O,001534
101R,O,001535
101R,O,001772
101R,O,001529
101R,O,001572
101R,O,001642
101R,O,003005
101R,O,001689
101R,O,001452
101R,O,001448
101R,O,001503
101R,O,001504
101R,O,001505
101R,O,001506
101R,O,001797
101R,O,001508
101R,O,002977
101X,O,001152
101X,O,001163
101X,O,002692
101X,O,001081
101X,O,001059
101X,O,001060
101X,O,001192
101X,O,002734
101X,O,001063
101X,O,001475
101X,O,001412
101X,O,003365
101X,O,003366
101X,O,001649
101X,O,001607
101X,O,001669
101X,O,001656
101X,O,003368
101X,O,002977
101X,I,002977
101X,I,001648
101X,I,001650
101X,I,002978
101X,I,002979
101X,I,001773
101X,I,001655
101X,I,003047
101X,I,003036
101X,I,003404
101X,I,002570
101X,I,001033
101X,I,001191
101X,I,001132
101X,I,001133
101X,I,001128
101X,I,001003
101X,I,001005
101X,I,001164
101X,I,001152
102,O,001207
102,O,001389
102,O,002693
102,O,001301
102,O,001302
102,O,001303
102,O,001367
102,O,001288
102,O,001271
102,O,001365
102,O,001274
102,O,001276
102,O,001277
102,O,001280
102,O,001364
102,O,001283
102,O,001286
102,O,001251
102,O,002414
102,O,001475
102,O,001769
102,O,001547
102,O,001548
102,O,001552
102,O,001801
102,O,001426
102,O,001429
102,O,001430
102,O,001687
102,O,001434
102,O,001685
102,I,001685
102,I,001436
102,I,001437
102,I,001440
102,I,001441
102,I,001443
102,I,001444
102,I,001447
102,I,001556
102,I,001557
102,I,001559
102,I,001562
102,I,001564
102,I,001471
102,I,001411
102,I,001476
102,I,001335
102,I,001374
102,I,002561
102,I,001213
102,I,001259
102,I,001260
102,I,001261
102,I,001262
102,I,001264
102,I,001265
102,I,002677
102,I,001267
102,I,001268
102,I,001393
102,I,001270
102,I,001296
102,I,001297
102,I,001298
102,I,002694
102,I,001207
102P,O,001207
102P,O,001389
102P,O,002693
102P,O,001301
102P,O,001302
102P,O,001303
102P,O,001367
102P,O,001288
102P,O,001271
102P,O,001365
102P,O,001274
102P,O,001276
102P,O,001277
102P,O,001279
102P,O,001475
102P,O,001769
102P,O,001547
102P,O,001548
102P,O,001552
102P,O,001801
102P,O,001426
102P,O,001429
102P,O,001430
102P,O,001687
102P,O,001434
102P,O,001685
102P,I,001685
102P,I,001436
102P,I,001437
102P,I,001440
102P,I,001441
102P,I,001443
102P,I,001444
102P,I,001447
102P,I,001556
102P,I,001557
102P,I,001559
102P,I,001562
102P,I,001564
102P,I,001471
102P,I,001411
102P,I,001476
102P,I,001258
102P,I,001267
102P,I,001268
102P,I,001393
102P,I,001270
102P,I,001296
102P,I,001297
102P,I,001298
102P,I,002694
102P,I,001207
102R,O,002470
102R,O,001475
102R,O,001769
102R,O,001547
102R,O,001548
102R,O,001552
102R,O,001801
102R,O,001426
102R,O,001429
102R,O,001430
102R,O,001687
102R,O,001434
102R,O,001685
103,O,001115
103,O,001111
103,O,001112
103,O,001188
103,O,001006
103,O,001007
103,O,001008
103,O,001009
103,O,001010
103,O,001015
103,O,001016
103,O,001017
103,O,001158
103,O,001073
103,O,001137
103,O,002427
103,O,002431
103,O,002434
103,O,002435
103,O,002437
103,O,002555
103,O,001213
103,O,001251
103,O,002414
103,O,001475
103,O,001632
103,O,001578
103,O,001579
103,O,001616
103,O,001617
103,O,001618
103,O,001619
103,O,001473
103,O,001583
103,O,001584
103,O,001486
103,O,001487
103,O,001615
103,O,001527
103,O,001454
103,O,001455
103,I,001455
103,I,001456
103,I,001528
103,I,001465
103,I,001615
103,I,001488
103,I,001622
103,I,001623
103,I,001624
103,I,001625
103,I,001626
103,I,001627
103,I,001633
103,I,001634
103,I,001411
103,I,001537
103,I,002568
103,I,002415
103,I,002563
103,I,002416
103,I,002418
103,I,002420
103,I,001090
103,I,001041
103,I,001078
103,I,001018
103,I,001019
103,I,001020
103,I,001021
103,I,001011
103,I,001013
103,I,001014
103,I,001012
103,I,001116
103,I,001117
103,I,001115
104,O,001152
104,O,001163
104,O,002692
104,O,001081
104,O,001059
104,O,001060
104,O,001192
104,O,002734
104,O,001063
104,O,002738
104,O,001065
104,O,001044
104,O,002737
104,O,001051
104,O,001137
104,O,002427
104,O,002423
104,O,002426
104,O,001475
104,O,001769
104,O,001547
104,O,001549
104,O,002817
104,O,002818
104,O,002819
104,O,002820
104,O,002821
104,O,002822
104,O,002823
104,O,002824
104,O,003428
104,O,002826
104,O,002825
104,I,002825
104,I,002827
104,I,003190
104,I,002830
104,I,002831
104,I,002832
104,I,002833
104,I,002834
104,I,002835
104,I,001557
